TEXT	SENTI
櫃台只有兩個人，還要顧超商，chck in超過20分，四人房只有兩人份的用品，電視新聞台一直出現版本更新的字幕	0
沒有	0
很酷的無人飯店	1
星巴克早餐送進房間, 看海吃早餐, 超棒.	1
早餐很特別，好吃!!!	1
普通	1
住的空間蠻大的，又乾淨！服務人員都很親切！下次還會再去住！	1
氣氛好，很親切	1
浴室無乾濕分離 較易滑倒.	0
早餐好吃，熱水熱	1
廁所水杯的清潔度、廁所衛生紙是否足夠	0
CP質很高，環境很美，都很不錯 員工態度很好👍	1
早餐樣式少，枕頭太軟	0
裝潢很特別，衛浴空間大，附近機能好，房間有LED化妝鏡很棒。	1
專業及和睦的服務品質	1
無	0
地點不錯	1
浴室採開放式空間，跟曖昧對象或是男女朋友想要有一點情趣在裡面的，可以選這飯店。早餐選擇性少且普普以下。	0
釣魚非常有趣，玩得很開心	1
沒有體重計 冰箱很迷你	0
浴室的清潔度可加強	0
房間很大，很舒服 地點很好	1
乾淨	1
乾淨舒適、跟照片中無太大落差。願意未來再次入住。	1
雖然知道無可避免.但隔壁間的人打呼真的太吵了 好像沒看清楚早餐的提供時間導致錯過	0
房間走廊比較嘈吵，很應聲。早餐較中式化。	0
房東人親切，床好躺！	1
櫃台小姐不親切，房內無移動小桌子可方便使用	0
職員態度差差 黑口黑面！	0
覺得沒有什麼不喜歡的，都還不錯	0
停車場太小	0
無	0
環境不錯，早餐樣式再多一些更好	1
地理位置方便	1
服務態度良好	1
房間跟客廳的隔音不好，半夜若有在客廳聊天，會嚴重影響到睡眠	0
交通方便!	1
停車位很少	0
房間乾淨無異味	1
沒有.	1
燈光不夠充足……房間暗暗的	0
床很舒服	1
房間空間寬敞，隔音效果好	1
地點佳，進出櫃檯人員不會令人有壓力。	1
在台南市中心，真的非常便宜，而且還提供了各種盥洗用品還附早餐，整理得也滿乾淨的，有提供行李寄放，很適合學生小資旅遊!	1
員工很親切，服務很好	1
空間大。很乾淨	1
